登録番号,更新日,1コース_進入率,1コース_1着率,1コース_2着率,1コース_3着率,1コース_平均ST,1コース_ST順,2コース_進入率,2コース_1着率,2コース_2着率,2コース_3着率,2コース_平均ST,2コース_ST順,3コース_進入率,3コース_1着率,3コース_2着率,3コース_3着率,3コース_平均ST,3コース_ST順,4コース_進入率,4コース_1着率,4コース_2着率,4コース_3着率,4コース_平均ST,4コース_ST順,5コース_進入率,5コース_1着率,5コース_2着率,5コース_3着率,5コース_平均ST,5コース_ST順,6コース_進入率,6コース_1着率,6コース_2着率,6コース_3着率,6コース_平均ST,6コース_ST順
3306,2026-06-21,15.9,21.4,21.4,14.3,0.13,2.3,15.9,14.3,28.6,0.0,0.14,2.9,17.0,6.7,6.7,13.3,0.21,4.0,18.2,12.5,6.2,0.0,0.15,3.0,20.5,11.1,11.1,0.0,0.16,3.7,12.5,18.2,0.0,0.0,0.18,3.7
3340,2026-06-21,17.4,40.0,20.0,15.0,0.17,3.6,19.1,9.1,27.3,0.0,0.16,3.3,17.4,30.0,5.0,0.0,0.2,3.5,13.0,6.7,6.7,6.7,0.17,3.5,17.4,5.0,10.0,0.0,0.23,4.7,15.7,5.6,5.6,0.0,0.2,4.7
3422,2026-06-21,23.8,79.3,3.4,3.4,0.15,2.8,16.4,10.0,20.0,15.0,0.16,3.9,12.3,33.3,20.0,0.0,0.16,3.3,27.0,39.4,24.2,9.1,0.16,2.8,15.6,10.5,26.3,36.8,0.14,2.7,4.9,16.7,0.0,0.0,0.11,1.7
3489,2026-06-21,20.4,53.3,23.3,3.3,0.17,3.3,16.3,12.5,16.7,25.0,0.17,3.2,18.4,11.1,37.0,25.9,0.15,2.6,17.0,4.0,16.0,28.0,0.16,3.1,18.4,11.1,48.1,0.0,0.15,3.9,9.5,7.1,14.3,7.1,0.18,4.3
3499,2026-06-21,21.5,77.4,6.5,6.5,0.11,2.1,15.3,22.7,27.3,36.4,0.13,2.4,20.1,17.2,24.1,13.8,0.13,2.3,18.1,7.7,11.5,19.2,0.12,2.7,16.7,12.5,25.0,0.0,0.14,2.3,8.3,16.7,16.7,0.0,0.2,3.8
3505,2026-06-21,19.2,34.8,39.1,4.3,0.16,2.9,14.2,29.4,29.4,0.0,0.14,2.5,18.3,9.1,13.6,27.3,0.15,2.3,17.5,4.8,9.5,28.6,0.13,2.2,17.5,9.5,19.0,14.3,0.14,2.4,13.3,6.2,0.0,0.0,0.13,3.3
3507,2026-06-21,15.0,25.0,33.3,0.0,0.17,3.0,18.8,13.3,13.3,0.0,0.21,4.8,20.0,6.2,18.8,0.0,0.2,4.2,25.0,5.0,20.0,0.0,0.19,3.7,16.2,30.8,0.0,0.0,0.22,4.2,5.0,25.0,0.0,0.0,0.22,3.8
3509,2026-06-21,15.8,8.3,41.7,16.7,0.14,2.4,19.7,20.0,13.3,0.0,0.16,3.0,21.1,6.2,6.2,6.2,0.15,3.1,14.5,9.1,36.4,0.0,0.12,1.4,19.7,6.7,6.7,0.0,0.13,2.5,9.2,14.3,28.6,0.0,0.15,3.3
3539,2026-06-21,15.0,35.3,17.6,23.5,0.18,3.6,28.3,6.2,25.0,3.1,0.17,3.9,19.5,4.5,9.1,18.2,0.19,3.9,17.7,10.0,5.0,10.0,0.19,4.6,9.7,9.1,9.1,0.0,0.19,4.5,9.7,9.1,0.0,0.0,0.14,4.2
3546,2026-06-21,17.5,23.5,23.5,0.0,0.17,4.2,17.5,23.5,5.9,0.0,0.22,4.9,20.6,5.0,15.0,10.0,0.19,3.9,23.7,8.7,17.4,13.0,0.18,4.0,10.3,10.0,20.0,0.0,0.19,3.6,10.3,10.0,0.0,0.0,0.19,3.2
3550,2026-06-21,16.3,55.0,10.0,10.0,0.16,3.8,15.4,15.8,26.3,15.8,0.16,3.3,22.8,17.9,21.4,14.3,0.17,3.4,21.1,15.4,11.5,23.1,0.17,3.0,14.6,11.1,16.7,11.1,0.16,2.7,9.8,16.7,8.3,0.0,0.17,3.3
3556,2026-06-21,25.2,81.1,10.8,5.4,0.12,2.5,17.0,16.0,12.0,32.0,0.14,3.0,15.0,9.1,40.9,22.7,0.18,2.9,16.3,29.2,29.2,8.3,0.14,3.0,16.3,8.3,37.5,16.7,0.15,3.3,10.2,6.7,6.7,40.0,0.14,3.3
3564,2026-06-21,15.6,28.6,21.4,14.3,0.2,3.4,16.7,13.3,13.3,6.7,0.16,3.8,16.7,20.0,13.3,26.7,0.2,4.0,16.7,6.7,33.3,0.0,0.15,3.8,21.1,5.3,5.3,10.5,0.18,3.9,13.3,8.3,8.3,0.0,0.19,4.8
3568,2026-06-21,15.5,33.3,40.0,0.0,0.15,2.9,17.5,5.9,29.4,35.3,0.17,3.5,19.6,5.3,26.3,26.3,0.16,3.6,24.7,12.5,12.5,16.7,0.16,3.6,14.4,7.1,7.1,0.0,0.18,3.4,8.2,25.0,0.0,0.0,0.19,4.3
3580,2026-06-21,18.8,36.8,21.1,21.1,0.19,3.7,16.8,17.6,23.5,0.0,0.17,4.4,16.8,11.8,29.4,0.0,0.22,3.7,13.9,7.1,14.3,35.7,0.19,2.9,19.8,15.0,30.0,0.0,0.2,4.4,13.9,7.1,7.1,7.1,0.21,4.5
3587,2026-06-21,14.5,31.2,12.5,12.5,0.17,2.5,18.2,10.0,25.0,15.0,0.17,3.6,19.1,4.8,19.0,19.0,0.16,3.2,15.5,5.9,23.5,0.0,0.17,3.4,18.2,30.0,5.0,0.0,0.16,3.1,14.5,6.2,6.2,0.0,0.17,3.4
3590,2026-06-21,23.9,64.7,17.6,5.9,0.13,3.1,14.1,20.0,25.0,25.0,0.13,3.5,20.4,27.6,31.0,10.3,0.12,2.7,19.0,11.1,37.0,14.8,0.12,2.7,13.4,21.1,10.5,36.8,0.15,3.4,9.2,7.7,15.4,15.4,0.17,4.1
3591,2026-06-21,14.8,22.2,0.0,0.0,0.14,3.2,19.7,16.7,16.7,0.0,0.17,3.7,18.0,9.1,9.1,0.0,0.15,3.1,18.0,9.1,0.0,0.0,0.2,4.7,18.0,9.1,0.0,0.0,0.2,4.0,11.5,14.3,0.0,0.0,0.17,4.1
